"Food","Enter","Edu","Trans","Work","House","Oth"
0.045,0.049,0.612,0.176,0.004,0.107,0.007
0.216,0.03,0.002,0.227,0.154,0.256,0.115
0.058,0.081,0.639,0.17,0.003,0.036,0.012
0.035,0.063,0.635,0.142,0.004,0.113,0.009
0.197,0.018,0.113,0.101,0.062,0.377,0.133
0.14,0.035,0.001,0.204,0.171,0.295,0.152
0.209,0.032,0.002,0.199,0.128,0.297,0.133
0.03,0.078,0.558,0.177,0.004,0.142,0.011
0.193,0.037,0.002,0.188,0.195,0.22,0.165
0.179,0.026,0.002,0.186,0.17,0.33,0.107
0.147,0.02,0.091,0.077,0.091,0.427,0.147
0.034,0.064,0.549,0.211,0.002,0.13,0.009
0.199,0.042,0.002,0.22,0.139,0.215,0.183
0.091,0.038,0.002,0.242,0.172,0.287,0.168
0.051,0.082,0.508,0.232,0.004,0.112,0.012
0.112,0.042,0.002,0.229,0.187,0.236,0.192
0.133,0.02,0.002,0.294,0.184,0.293,0.073
0.056,0.069,0.541,0.189,0.006,0.129,0.01
0.185,0.023,0.002,0.266,0.168,0.27,0.086
0.209,0.017,0.106,0.069,0.131,0.338,0.13
0.043,0.048,0.517,0.2,0.004,0.18,0.007
0.044,0.087,0.506,0.196,0.004,0.15,0.012
0.023,0.078,0.552,0.205,0.004,0.126,0.011
0.046,0.041,0.002,0.232,0.189,0.311,0.179
0.168,0.037,0.002,0.232,0.103,0.296,0.163
0.052,0.095,0.516,0.12,0.005,0.198,0.013
0.031,0.064,0.615,0.168,0.004,0.108,0.009
0.119,0.043,0.002,0.173,0.154,0.312,0.197
0.124,0.044,0.002,0.202,0.17,0.259,0.198
0.164,0.034,0.001,0.264,0.133,0.253,0.151
0.082,0.03,0.002,0.207,0.227,0.322,0.129
0.047,0.075,0.488,0.221,0.006,0.152,0.011
0.22,0.014,0.087,0.087,0.06,0.424,0.107
0.045,0.054,0.611,0.18,0.005,0.098,0.008
0.132,0.032,0.002,0.275,0.187,0.236,0.137
0.094,0.044,0.002,0.182,0.105,0.367,0.207
0.036,0.081,0.552,0.211,0.004,0.105,0.011
0.176,0.049,0.002,0.182,0.156,0.203,0.232
0.123,0.033,0.002,0.265,0.103,0.333,0.141
0.048,0.035,0.563,0.166,0.004,0.178,0.005
0.124,0.042,0.002,0.251,0.168,0.226,0.187
0.133,0.03,0.002,0.272,0.076,0.356,0.13
0.168,0.044,0.002,0.2,0.134,0.256,0.197
0.043,0.075,0.571,0.162,0.004,0.134,0.011
0.036,0.065,0.531,0.215,0.005,0.138,0.009
0.071,0.036,0.002,0.294,0.193,0.25,0.155
0.22,0.017,0.103,0.09,0.108,0.333,0.13
0.041,0.058,0.589,0.224,0.004,0.075,0.008
0.133,0.054,0.002,0.264,0.138,0.155,0.255
0.167,0.047,0.002,0.262,0.075,0.235,0.213
0.174,0.022,0.002,0.284,0.155,0.281,0.082
0.156,0.04,0.002,0.154,0.195,0.267,0.186
0.063,0.064,0.612,0.134,0.008,0.109,0.009
0.156,0.051,0.002,0.214,0.102,0.23,0.245
0.114,0.045,0.002,0.196,0.215,0.216,0.212
0.048,0.075,0.528,0.194,0.009,0.135,0.011
0.03,0.057,0.609,0.218,0.005,0.073,0.008
0.108,0.042,0.002,0.212,0.17,0.272,0.194
0.173,0.025,0.002,0.285,0.121,0.302,0.091
0.233,0.015,0.083,0.072,0.111,0.378,0.108
0.043,0.083,0.547,0.126,0.006,0.183,0.012
0.038,0.043,0.699,0.13,0.003,0.081,0.006
0.049,0.086,0.539,0.179,0.004,0.13,0.012
0.061,0.109,0.465,0.176,0.004,0.172,0.015
0.121,0.037,0.002,0.259,0.101,0.313,0.167
0.041,0.075,0.639,0.099,0.005,0.13,0.011
0.141,0.018,0.002,0.326,0.143,0.313,0.057
0.049,0.061,0.518,0.213,0.004,0.147,0.009
0.212,0.019,0.134,0.053,0.096,0.345,0.142
0.048,0.046,0.584,0.142,0.004,0.17,0.007
0.053,0.051,0.643,0.14,0.003,0.103,0.007
0.036,0.081,0.513,0.226,0.003,0.129,0.011
0.166,0.014,0.065,0.132,0.077,0.448,0.099
0.13,0.031,0.002,0.254,0.146,0.303,0.134
0.042,0.072,0.602,0.122,0.006,0.147,0.01
0.123,0.035,0.002,0.288,0.187,0.214,0.15
0.158,0.029,0.002,0.306,0.166,0.224,0.115
0.032,0.047,0.563,0.198,0.004,0.148,0.007
0.034,0.061,0.598,0.184,0.003,0.111,0.009
0.169,0.011,0.078,0.125,0.095,0.446,0.077
0.045,0.088,0.448,0.239,0.007,0.16,0.013
0.141,0.04,0.002,0.241,0.123,0.268,0.185
0.146,0.034,0.002,0.292,0.089,0.291,0.147
0.118,0.035,0.002,0.219,0.196,0.278,0.152
0.168,0.052,0.002,0.182,0.089,0.255,0.252
0.12,0.036,0.002,0.233,0.096,0.347,0.167
0.15,0.045,0.002,0.216,0.175,0.206,0.206
0.025,0.055,0.656,0.138,0.004,0.115,0.008
0.123,0.034,0.002,0.209,0.183,0.3,0.15
0.122,0.037,0.001,0.197,0.164,0.309,0.169
0.083,0.039,0.002,0.209,0.131,0.361,0.176
0.044,0.05,0.541,0.217,0.009,0.133,0.007
0.151,0.032,0.002,0.305,0.161,0.223,0.127
0.117,0.027,0.002,0.25,0.212,0.295,0.097
0.219,0.014,0.087,0.061,0.081,0.435,0.103
0.141,0.033,0.002,0.285,0.145,0.248,0.147
0.095,0.054,0.002,0.169,0.175,0.241,0.263
0.133,0.028,0.002,0.239,0.213,0.273,0.112
0.156,0.02,0.081,0.103,0.109,0.379,0.153
0.308,0.018,0.095,0.101,0.112,0.232,0.134
0.043,0.089,0.513,0.246,0.004,0.092,0.013
0.117,0.035,0.002,0.257,0.134,0.301,0.154
0.117,0.035,0.002,0.273,0.084,0.332,0.157
0.046,0.113,0.444,0.235,0.005,0.142,0.016
0.14,0.03,0.002,0.263,0.086,0.354,0.124
0.125,0.032,0.002,0.312,0.144,0.249,0.138
0.12,0.043,0.002,0.254,0.193,0.194,0.194
0.043,0.092,0.569,0.142,0.004,0.136,0.013
0.186,0.036,0.002,0.198,0.167,0.256,0.154
0.042,0.053,0.61,0.172,0.004,0.11,0.008
0.159,0.038,0.002,0.258,0.124,0.246,0.173
0.04,0.067,0.554,0.187,0.004,0.137,0.01
0.189,0.043,0.002,0.213,0.061,0.292,0.201
0.084,0.048,0.002,0.242,0.145,0.263,0.216
0.197,0.027,0.002,0.261,0.14,0.264,0.109
0.14,0.042,0.002,0.246,0.13,0.244,0.197
0.144,0.035,0.002,0.152,0.194,0.318,0.155
0.145,0.026,0.002,0.252,0.168,0.31,0.097
0.13,0.041,0.002,0.272,0.129,0.237,0.188
0.042,0.053,0.614,0.197,0.004,0.084,0.008
0.191,0.023,0.083,0.072,0.057,0.399,0.174
0.208,0.016,0.063,0.059,0.073,0.463,0.118
0.123,0.033,0.002,0.241,0.199,0.264,0.137
0.087,0.043,0.002,0.215,0.147,0.304,0.202
0.045,0.072,0.517,0.174,0.005,0.177,0.01
0.126,0.024,0.002,0.246,0.141,0.37,0.09
0.248,0.01,0.095,0.091,0.099,0.383,0.074
0.152,0.04,0.002,0.199,0.256,0.181,0.171
0.048,0.062,0.526,0.2,0.005,0.151,0.009
0.13,0.043,0.002,0.166,0.186,0.278,0.195
0.093,0.028,0.002,0.251,0.167,0.347,0.112
0.058,0.072,0.624,0.189,0.005,0.042,0.01
0.118,0.046,0.002,0.182,0.133,0.306,0.213
0.158,0.039,0.002,0.151,0.148,0.324,0.179
0.173,0.031,0.002,0.21,0.181,0.272,0.131
0.045,0.057,0.589,0.189,0.004,0.108,0.008
0.144,0.037,0.002,0.3,0.08,0.272,0.164
0.163,0.033,0.002,0.203,0.198,0.263,0.138
0.098,0.041,0.002,0.283,0.126,0.269,0.182
0.172,0.03,0.002,0.196,0.101,0.374,0.125
0.127,0.045,0.002,0.242,0.135,0.235,0.214
0.052,0.057,0.579,0.159,0.004,0.141,0.008
0.159,0.028,0.002,0.213,0.202,0.283,0.114
0.054,0.054,0.571,0.151,0.003,0.16,0.008
0.12,0.048,0.002,0.279,0.13,0.194,0.227
0.105,0.061,0.002,0.166,0.126,0.249,0.291
0.035,0.075,0.499,0.244,0.006,0.13,0.011
0.046,0.062,0.604,0.118,0.005,0.155,0.009
0.164,0.033,0.002,0.227,0.154,0.279,0.141
0.036,0.065,0.568,0.206,0.003,0.112,0.009
0.139,0.028,0.002,0.244,0.157,0.326,0.104
0.049,0.066,0.524,0.161,0.004,0.187,0.009
0.133,0.033,0.002,0.339,0.144,0.206,0.143
0.108,0.033,0.002,0.308,0.186,0.218,0.145
0.171,0.03,0.002,0.246,0.144,0.284,0.124
0.17,0.03,0.002,0.275,0.153,0.25,0.12
0.124,0.036,0.002,0.199,0.132,0.347,0.16
0.173,0.016,0.074,0.087,0.117,0.41,0.123
0.217,0.042,0.002,0.255,0.099,0.201,0.183
0.04,0.068,0.673,0.145,0.004,0.061,0.01
0.152,0.036,0.002,0.2,0.123,0.326,0.161
0.169,0.016,0.079,0.102,0.086,0.424,0.122
0.242,0.019,0.082,0.054,0.064,0.395,0.144
0.19,0.019,0.112,0.038,0.143,0.354,0.144
0.181,0.036,0.002,0.196,0.094,0.329,0.162
0.188,0.031,0.002,0.289,0.184,0.179,0.125
0.14,0.042,0.002,0.173,0.152,0.303,0.188
0.13,0.033,0.002,0.275,0.096,0.322,0.142
0.034,0.063,0.64,0.145,0.005,0.104,0.009
0.038,0.046,0.587,0.181,0.005,0.136,0.007
0.157,0.028,0.002,0.239,0.145,0.322,0.109
0.048,0.068,0.441,0.252,0.007,0.174,0.01
0.192,0.038,0.002,0.186,0.185,0.225,0.172
0.236,0.018,0.053,0.068,0.086,0.403,0.136
0.044,0.095,0.556,0.171,0.006,0.116,0.013
0.13,0.046,0.002,0.241,0.129,0.236,0.215
0.199,0.022,0.089,0.059,0.067,0.399,0.165
0.095,0.042,0.002,0.275,0.133,0.263,0.19
0.169,0.042,0.001,0.186,0.185,0.223,0.194
0.151,0.025,0.002,0.252,0.129,0.355,0.085
0.1,0.04,0.002,0.227,0.097,0.352,0.182
0.171,0.042,0.002,0.216,0.099,0.277,0.193
0.104,0.032,0.002,0.188,0.132,0.408,0.134
0.156,0.034,0.003,0.251,0.132,0.282,0.142
0.115,0.035,0.002,0.191,0.137,0.371,0.148
0.035,0.051,0.593,0.15,0.004,0.16,0.007
0.145,0.028,0.002,0.28,0.142,0.291,0.113
0.048,0.055,0.456,0.267,0.003,0.163,0.008
0.15,0.058,0.002,0.209,0.107,0.193,0.281
0.166,0.031,0.002,0.279,0.071,0.324,0.126
0.042,0.087,0.514,0.237,0.003,0.105,0.012
0.097,0.05,0.002,0.173,0.163,0.286,0.229
0.037,0.066,0.555,0.229,0.005,0.098,0.009
0.053,0.086,0.476,0.201,0.006,0.166,0.012
0.183,0.02,0.078,0.085,0.108,0.379,0.148
0.17,0.021,0.002,0.233,0.149,0.353,0.072
0.133,0.041,0.001,0.214,0.122,0.3,0.189
0.192,0.05,0.002,0.194,0.087,0.247,0.229
0.207,0.017,0.069,0.096,0.063,0.416,0.131
0.15,0.038,0.002,0.201,0.163,0.267,0.178
0.039,0.071,0.618,0.166,0.003,0.092,0.01
0.256,0.019,0.093,0.086,0.098,0.308,0.141
0.143,0.029,0.002,0.195,0.141,0.374,0.116
0.131,0.026,0.002,0.316,0.105,0.32,0.098
0.256,0.017,0.046,0.096,0.121,0.336,0.127
0.173,0.039,0.002,0.215,0.135,0.261,0.175
0.141,0.043,0.002,0.262,0.109,0.244,0.2
0.111,0.037,0.002,0.208,0.203,0.28,0.159
0.033,0.071,0.486,0.24,0.004,0.155,0.01
0.127,0.041,0.002,0.169,0.176,0.297,0.189
0.083,0.039,0.002,0.259,0.157,0.28,0.179
0.114,0.033,0.002,0.277,0.144,0.294,0.135
0.136,0.032,0.002,0.202,0.119,0.371,0.138
0.115,0.03,0.002,0.244,0.174,0.31,0.127
0.049,0.08,0.386,0.264,0.006,0.205,0.011
0.049,0.084,0.479,0.2,0.005,0.171,0.012
0.174,0.038,0.002,0.288,0.16,0.171,0.168
0.125,0.042,0.002,0.162,0.171,0.307,0.192
0.026,0.068,0.558,0.193,0.004,0.143,0.01
0.14,0.039,0.002,0.224,0.201,0.218,0.177
0.195,0.016,0.087,0.093,0.093,0.397,0.118
0.037,0.066,0.565,0.23,0.003,0.09,0.009
0.107,0.039,0.002,0.268,0.164,0.245,0.176
0.119,0.036,0.003,0.23,0.186,0.275,0.152
0.031,0.07,0.682,0.103,0.005,0.1,0.01
0.041,0.088,0.521,0.131,0.005,0.201,0.013
0.214,0.014,0.101,0.111,0.09,0.363,0.107
0.175,0.017,0.053,0.14,0.095,0.391,0.129
0.126,0.032,0.002,0.371,0.128,0.206,0.136
0.227,0.02,0.064,0.037,0.063,0.441,0.149
0.128,0.021,0.002,0.223,0.164,0.384,0.078
0.026,0.083,0.564,0.208,0.004,0.103,0.012
0.2,0.017,0.035,0.052,0.079,0.489,0.13
0.03,0.041,0.577,0.205,0.003,0.138,0.006
0.033,0.06,0.562,0.205,0.002,0.129,0.009
0.04,0.066,0.658,0.13,0.003,0.093,0.009
0.144,0.042,0.002,0.19,0.139,0.288,0.195
0.244,0.019,0.073,0.113,0.097,0.312,0.143
0.049,0.079,0.478,0.185,0.005,0.193,0.011
0.176,0.047,0.002,0.207,0.089,0.256,0.224
0.139,0.022,0.002,0.234,0.212,0.314,0.078
0.264,0.017,0.067,0.075,0.074,0.378,0.126
0.196,0.018,0.08,0.115,0.047,0.41,0.134
0.038,0.072,0.583,0.162,0.004,0.131,0.01
0.222,0.015,0.062,0.034,0.119,0.433,0.114
0.046,0.043,0.497,0.232,0.005,0.17,0.006
0.049,0.089,0.589,0.14,0.006,0.114,0.013
0.154,0.041,0.001,0.228,0.164,0.215,0.197
0.026,0.056,0.666,0.178,0.003,0.065,0.008
0.177,0.034,0.002,0.219,0.085,0.339,0.145
0.252,0.023,0.088,0.107,0.1,0.259,0.171
0.202,0.04,0.002,0.242,0.109,0.233,0.172
0.174,0.026,0.002,0.253,0.11,0.327,0.108
0.167,0.029,0.002,0.251,0.11,0.32,0.121
0.046,0.097,0.469,0.2,0.005,0.169,0.014
0.115,0.045,0.002,0.207,0.102,0.321,0.209
0.123,0.029,0.002,0.187,0.174,0.366,0.12
0.124,0.047,0.002,0.162,0.152,0.287,0.227
0.132,0.042,0.002,0.232,0.153,0.249,0.19
0.234,0.012,0.105,0.127,0.113,0.322,0.086
0.111,0.027,0.002,0.243,0.204,0.307,0.106
0.13,0.043,0.002,0.302,0.088,0.239,0.195
0.18,0.04,0.002,0.218,0.169,0.216,0.174
0.042,0.048,0.589,0.18,0.003,0.13,0.007
0.05,0.076,0.379,0.215,0.004,0.265,0.011
0.039,0.076,0.626,0.165,0.004,0.08,0.011
0.146,0.023,0.002,0.228,0.174,0.335,0.092
0.13,0.048,0.002,0.155,0.181,0.257,0.227
0.061,0.068,0.34,0.307,0.008,0.207,0.01
0.106,0.029,0.002,0.312,0.127,0.305,0.119
0.184,0.023,0.085,0.123,0.06,0.35,0.175
0.136,0.042,0.002,0.238,0.153,0.239,0.191
0.154,0.012,0.147,0.145,0.064,0.39,0.088
0.04,0.074,0.541,0.213,0.006,0.115,0.011
0.171,0.03,0.002,0.335,0.055,0.289,0.117
0.152,0.015,0.146,0.02,0.071,0.483,0.112
0.04,0.058,0.532,0.241,0.006,0.115,0.008
0.046,0.046,0.521,0.231,0.006,0.143,0.007
0.124,0.034,0.002,0.257,0.178,0.257,0.148
0.039,0.065,0.576,0.186,0.003,0.121,0.009
0.141,0.035,0.002,0.216,0.136,0.316,0.155
0.237,0.016,0.11,0.099,0.064,0.357,0.117
0.087,0.043,0.002,0.232,0.127,0.31,0.198
0.145,0.04,0.002,0.19,0.139,0.301,0.183
0.04,0.04,0.662,0.188,0.004,0.06,0.006
0.163,0.032,0.001,0.206,0.201,0.255,0.142
0.111,0.036,0.002,0.195,0.202,0.289,0.164
0.123,0.02,0.132,0.122,0.088,0.368,0.147
0.046,0.096,0.509,0.248,0.006,0.081,0.013
0.039,0.071,0.539,0.175,0.004,0.161,0.01
0.155,0.037,0.002,0.292,0.116,0.236,0.163
0.108,0.047,0.002,0.184,0.199,0.239,0.221
0.172,0.032,0.002,0.24,0.176,0.24,0.137
0.036,0.045,0.595,0.18,0.004,0.133,0.007
0.147,0.03,0.003,0.214,0.135,0.354,0.118
0.043,0.063,0.553,0.207,0.005,0.121,0.009
0.043,0.06,0.563,0.144,0.005,0.175,0.009
0.043,0.075,0.474,0.251,0.008,0.139,0.011
0.173,0.039,0.003,0.233,0.094,0.289,0.169
0.113,0.02,0.131,0.118,0.06,0.406,0.152
0.219,0.027,0.002,0.278,0.052,0.314,0.109
0.178,0.036,0.002,0.202,0.101,0.318,0.163
0.215,0.016,0.091,0.146,0.099,0.314,0.118
0.168,0.049,0.002,0.201,0.144,0.205,0.232
0.212,0.025,0.14,0.085,0.086,0.259,0.193
0.039,0.032,0.002,0.248,0.134,0.411,0.135
0.175,0.009,0.078,0.083,0.128,0.462,0.064
0.041,0.065,0.595,0.193,0.005,0.092,0.009
0.05,0.073,0.56,0.199,0.006,0.102,0.01
0.035,0.065,0.605,0.157,0.003,0.127,0.009
0.041,0.04,0.591,0.193,0.004,0.124,0.006
0.162,0.043,0.002,0.2,0.145,0.25,0.198
0.051,0.068,0.603,0.166,0.005,0.097,0.01
0.155,0.037,0.002,0.242,0.123,0.277,0.165
0.034,0.04,0.642,0.187,0.003,0.089,0.006
0.146,0.032,0.002,0.262,0.179,0.242,0.137
0.04,0.053,0.548,0.211,0.004,0.136,0.008
0.049,0.077,0.625,0.13,0.004,0.104,0.011
0.029,0.061,0.558,0.235,0.004,0.104,0.009
0.147,0.041,0.002,0.25,0.127,0.247,0.185
0.033,0.058,0.592,0.154,0.005,0.151,0.008
0.138,0.021,0.152,0.062,0.088,0.381,0.158
0.035,0.05,0.617,0.108,0.004,0.179,0.007
0.147,0.03,0.002,0.265,0.131,0.298,0.128
0.158,0.034,0.002,0.273,0.121,0.263,0.149
0.048,0.061,0.553,0.187,0.004,0.137,0.009
0.123,0.039,0.001,0.237,0.103,0.309,0.186
0.126,0.042,0.002,0.237,0.15,0.244,0.198
0.052,0.112,0.441,0.198,0.006,0.175,0.016
0.083,0.048,0.002,0.272,0.132,0.236,0.227
0.039,0.058,0.599,0.239,0.004,0.051,0.008
0.178,0.056,0.002,0.158,0.065,0.269,0.273
0.054,0.076,0.494,0.215,0.006,0.144,0.011
0.038,0.067,0.517,0.197,0.004,0.167,0.01
0.092,0.044,0.002,0.256,0.096,0.312,0.199
0.041,0.06,0.59,0.203,0.007,0.091,0.009
0.06,0.055,0.38,0.284,0.006,0.206,0.008
0.19,0.019,0.046,0.081,0.082,0.44,0.142
0.033,0.075,0.582,0.16,0.004,0.136,0.011
0.142,0.034,0.002,0.27,0.201,0.209,0.142
0.097,0.023,0.123,0.122,0.119,0.34,0.176
0.2,0.017,0.096,0.129,0.073,0.36,0.125
0.049,0.059,0.571,0.114,0.006,0.192,0.009
0.04,0.062,0.53,0.195,0.003,0.161,0.009
0.032,0.08,0.557,0.203,0.006,0.112,0.011
0.194,0.051,0.002,0.225,0.121,0.175,0.231
0.045,0.073,0.588,0.124,0.004,0.155,0.01
0.041,0.08,0.612,0.154,0.005,0.095,0.011
0.039,0.061,0.617,0.197,0.006,0.071,0.009
0.108,0.043,0.002,0.311,0.102,0.232,0.202
0.055,0.052,0.504,0.202,0.005,0.174,0.008
0.201,0.008,0.092,0.088,0.099,0.455,0.056
0.047,0.081,0.499,0.216,0.006,0.14,0.011
0.032,0.055,0.661,0.153,0.004,0.086,0.008
0.107,0.036,0.002,0.281,0.119,0.297,0.159
0.13,0.031,0.002,0.247,0.2,0.258,0.132
0.169,0.039,0.002,0.21,0.173,0.229,0.178
0.085,0.05,0.002,0.283,0.135,0.21,0.236
0.117,0.03,0.002,0.225,0.221,0.279,0.126
0.042,0.064,0.615,0.107,0.004,0.159,0.009
0.061,0.083,0.418,0.22,0.006,0.199,0.012
0.043,0.067,0.52,0.19,0.006,0.165,0.009
0.254,0.02,0.062,0.048,0.052,0.415,0.149
0.118,0.04,0.002,0.183,0.169,0.311,0.177
0.057,0.076,0.517,0.182,0.006,0.151,0.011
0.055,0.054,0.639,0.138,0.007,0.1,0.008
0.13,0.049,0.002,0.22,0.124,0.245,0.23
0.177,0.017,0.104,0.107,0.067,0.398,0.129
0.192,0.041,0.002,0.234,0.089,0.258,0.184
0.141,0.023,0.002,0.279,0.172,0.303,0.08
0.055,0.072,0.477,0.217,0.005,0.164,0.01
0.132,0.034,0.002,0.294,0.112,0.277,0.15
0.043,0.061,0.545,0.178,0.006,0.159,0.009
0.177,0.043,0.002,0.133,0.106,0.338,0.201
0.145,0.045,0.002,0.185,0.143,0.27,0.209
0.031,0.073,0.567,0.193,0.006,0.119,0.01
0.036,0.046,0.657,0.153,0.004,0.097,0.007
0.189,0.017,0.096,0.071,0.101,0.394,0.132
0.04,0.065,0.56,0.155,0.006,0.165,0.009
0.161,0.029,0.003,0.171,0.228,0.299,0.111
0.156,0.032,0.002,0.207,0.083,0.377,0.143
0.038,0.087,0.623,0.191,0.004,0.045,0.012
0.165,0.046,0.002,0.275,0.077,0.217,0.217
0.175,0.038,0.002,0.151,0.145,0.319,0.17
0.115,0.044,0.001,0.223,0.157,0.249,0.21
0.214,0.017,0.09,0.064,0.101,0.383,0.131
0.153,0.035,0.002,0.226,0.146,0.285,0.154
0.126,0.034,0.002,0.3,0.155,0.242,0.142
0.107,0.045,0.001,0.178,0.114,0.341,0.214
0.038,0.07,0.564,0.188,0.004,0.127,0.01
0.129,0.033,0.001,0.21,0.17,0.306,0.15
0.104,0.03,0.002,0.259,0.182,0.291,0.132
0.182,0.048,0.002,0.166,0.109,0.263,0.23
0.135,0.034,0.002,0.239,0.211,0.243,0.135
0.03,0.043,0.567,0.235,0.004,0.115,0.006
0.161,0.021,0.002,0.351,0.199,0.196,0.07
0.052,0.064,0.532,0.209,0.005,0.129,0.009
0.17,0.033,0.002,0.174,0.199,0.279,0.144
0.103,0.038,0.002,0.246,0.108,0.331,0.172
0.046,0.055,0.567,0.126,0.004,0.193,0.008
0.186,0.044,0.002,0.203,0.12,0.243,0.203
0.122,0.024,0.063,0.091,0.06,0.457,0.183
0.052,0.085,0.541,0.229,0.007,0.075,0.012
0.111,0.049,0.002,0.213,0.137,0.26,0.228
0.051,0.05,0.645,0.131,0.005,0.112,0.007
0.1,0.036,0.002,0.233,0.184,0.287,0.157
0.151,0.041,0.001,0.204,0.115,0.3,0.187
0.159,0.034,0.002,0.213,0.179,0.26,0.154
0.156,0.05,0.002,0.172,0.101,0.281,0.237
0.034,0.062,0.524,0.206,0.004,0.161,0.009
0.124,0.029,0.002,0.264,0.166,0.297,0.117
0.156,0.033,0.002,0.231,0.132,0.3,0.147
0.168,0.039,0.001,0.268,0.104,0.245,0.174
0.05,0.078,0.513,0.18,0.006,0.161,0.011
0.128,0.044,0.002,0.25,0.132,0.24,0.204
0.107,0.046,0.002,0.251,0.151,0.23,0.214
0.031,0.082,0.525,0.183,0.005,0.162,0.012
0.163,0.04,0.002,0.224,0.123,0.268,0.18
0.14,0.023,0.002,0.245,0.206,0.295,0.089
0.034,0.059,0.629,0.155,0.005,0.109,0.008
0.261,0.007,0.088,0.084,0.091,0.418,0.051
0.037,0.058,0.542,0.156,0.003,0.195,0.008
0.038,0.055,0.614,0.219,0.004,0.062,0.008
0.161,0.038,0.002,0.268,0.094,0.264,0.173
0.108,0.039,0.002,0.28,0.1,0.295,0.177
0.031,0.042,0.668,0.16,0.005,0.088,0.006
0.047,0.03,0.671,0.137,0.006,0.105,0.004
0.032,0.045,0.635,0.138,0.004,0.138,0.007
0.141,0.04,0.002,0.29,0.1,0.241,0.186
0.154,0.04,0.002,0.241,0.158,0.227,0.179
0.141,0.041,0.002,0.24,0.127,0.262,0.188
0.043,0.041,0.535,0.194,0.005,0.176,0.006
0.151,0.037,0.002,0.244,0.134,0.266,0.166
0.14,0.032,0.002,0.261,0.163,0.264,0.139
0.054,0.093,0.502,0.166,0.007,0.165,0.013
0.193,0.037,0.002,0.217,0.164,0.224,0.162
0.042,0.066,0.513,0.211,0.005,0.154,0.01
0.156,0.024,0.081,0.076,0.076,0.405,0.183
0.19,0.019,0.079,0.088,0.095,0.386,0.143
0.037,0.067,0.458,0.226,0.003,0.2,0.01
0.044,0.099,0.359,0.294,0.007,0.183,0.014
0.035,0.067,0.574,0.147,0.004,0.163,0.01
0.047,0.073,0.598,0.114,0.005,0.153,0.01
0.047,0.025,0.094,0.101,0.066,0.474,0.192
0.042,0.06,0.61,0.123,0.004,0.151,0.009
0.17,0.041,0.001,0.224,0.125,0.255,0.184
0.038,0.061,0.493,0.252,0.005,0.142,0.009
0.149,0.033,0.002,0.24,0.107,0.336,0.133
0.13,0.038,0.002,0.266,0.115,0.28,0.169
0.034,0.072,0.582,0.191,0.005,0.107,0.01
0.048,0.068,0.566,0.218,0.005,0.084,0.01
0.153,0.021,0.115,0.019,0.095,0.441,0.156
0.03,0.064,0.566,0.233,0.003,0.095,0.009
0.05,0.079,0.556,0.16,0.005,0.139,0.011
0.131,0.051,0.002,0.26,0.15,0.171,0.235
0.178,0.015,0.107,0.048,0.096,0.444,0.111
0.158,0.017,0.122,0.104,0.059,0.415,0.126
0.218,0.031,0.002,0.231,0.108,0.277,0.134
0.031,0.066,0.623,0.167,0.004,0.1,0.009
0.189,0.018,0.083,0.066,0.13,0.379,0.136
0.123,0.038,0.002,0.23,0.186,0.254,0.167
0.072,0.106,0.498,0.174,0.005,0.129,0.015
0.063,0.064,0.467,0.269,0.005,0.122,0.009
0.212,0.028,0.095,0.142,0.084,0.229,0.21
0.167,0.016,0.144,0.109,0.077,0.367,0.119
0.029,0.065,0.572,0.147,0.004,0.173,0.009
0.042,0.067,0.466,0.252,0.004,0.158,0.01
0.038,0.05,0.516,0.253,0.005,0.131,0.007
0.152,0.033,0.002,0.283,0.117,0.271,0.144
0.051,0.073,0.543,0.21,0.006,0.107,0.01
0.038,0.088,0.388,0.183,0.007,0.283,0.013
0.236,0.015,0.11,0.093,0.081,0.357,0.108
0.11,0.042,0.002,0.218,0.137,0.294,0.197
0.033,0.066,0.532,0.238,0.005,0.118,0.009
0.036,0.047,0.657,0.149,0.003,0.101,0.007
0.2,0.018,0.112,0.052,0.067,0.417,0.133
0.046,0.053,0.561,0.194,0.004,0.134,0.008
0.098,0.032,0.002,0.202,0.183,0.352,0.132
0.208,0.016,0.066,0.052,0.135,0.408,0.115
0.135,0.041,0.002,0.246,0.108,0.277,0.191
0.045,0.059,0.634,0.135,0.005,0.113,0.008
0.167,0.031,0.002,0.297,0.129,0.244,0.131
0.027,0.056,0.52,0.252,0.006,0.132,0.008
0.111,0.046,0.002,0.24,0.142,0.241,0.219
0.037,0.051,0.525,0.252,0.005,0.123,0.007
0.18,0.04,0.002,0.211,0.13,0.248,0.19
0.035,0.044,0.611,0.145,0.003,0.155,0.006
0.156,0.043,0.002,0.212,0.087,0.303,0.197
0.126,0.022,0.002,0.271,0.135,0.363,0.08
0.139,0.034,0.002,0.238,0.172,0.269,0.147
0.035,0.056,0.565,0.181,0.005,0.15,0.008
0.136,0.043,0.002,0.231,0.103,0.286,0.198
0.142,0.037,0.002,0.167,0.18,0.313,0.159
0.065,0.057,0.43,0.259,0.007,0.175,0.008
0.091,0.041,0.002,0.241,0.126,0.311,0.187
0.135,0.041,0.002,0.239,0.149,0.253,0.182
0.198,0.035,0.002,0.179,0.153,0.279,0.153
0.283,0.016,0.093,0.078,0.114,0.292,0.123
0.031,0.06,0.606,0.174,0.005,0.116,0.009
